,t,k=0,k=1
0,0.0,0.0,0.0
1,0.001,0.0009999958333333332,0.0009999958333333332
2,0.002,0.001999966666822916,0.001999966666822916
3,0.003,0.0029998875012499935,0.0029998875012499935
4,0.004,0.003999733338645784,0.003999733338645784
5,0.005,0.00499947918291643,0.00499947918291643
6,0.006,0.005999100040467892,0.005999100040467892
7,0.007,0.006998570920830797,0.006998570920830797
8,0.008,0.007997866837285192,0.007997866837285192
9,0.009000000000000001,0.008996962807485211,0.008996962807485211
10,0.01,0.009995833854083636,0.009995833854083636
11,0.011,0.010994455005356328,0.010994455005356328
12,0.012,0.011992801295826517,0.011992801295826517
13,0.013000000000000001,0.012990847766888936,0.012990847766888936
14,0.014,0.013988569467433792,0.013988569467433792
15,0.015,0.014985941454470537,0.014985941454470537
16,0.016,0.01598293879375144,0.01598293879375144
17,0.017,0.01697953656039495,0.01697953656039495
18,0.018000000000000002,0.017975709839508802,0.017975709839508802
19,0.019,0.018971433726812904,0.018971433726812904
20,0.02,0.019966683329261936,0.019966683329261936
21,0.021,0.020961433765667673,0.020961433765667673
22,0.022,0.021955660167321013,0.021955660167321013
23,0.023,0.0229493376786137,0.0229493376786137
24,0.024,0.023942441457659704,0.023942441457659704
25,0.025,0.024934946676916273,0.024934946676916273
26,0.026000000000000002,0.02592682852380462,0.02592682852380462
27,0.027,0.026918062201330233,0.026918062201330233
28,0.028,0.0279086229287028,0.0279086229287028
29,0.029,0.02889848594195573,0.02889848594195573
30,0.03,0.029887626494565247,0.029887626494565247
31,0.031,0.03087601985806905,0.03087601985806905
32,0.032,0.03186364132268454,0.03186364132268454
33,0.033,0.03285046619792653,0.03285046619792653
34,0.034,0.033836469813224544,0.033836469813224544
35,0.035,0.034821627518539545,0.034821627518539545
36,0.036000000000000004,0.03580591468498022,0.03580591468498022
37,0.037,0.03678930670541867,0.03678930670541867
38,0.038,0.0377717789951056,0.0377717789951056
39,0.039,0.03875330699228494,0.03875330699228494
40,0.04,0.03973386615880789,0.03973386615880789
41,0.041,0.04071343198074635,0.04071343198074635
42,0.042,0.04169197996900578,0.04169197996900578
43,0.043000000000000003,0.04266948565993746,0.04266948565993746
44,0.044,0.043645924615950016,0.043645924615950016
45,0.045,0.044621272426120406,0.044621272426120406
46,0.046,0.04559550470680418,0.04559550470680418
47,0.047,0.046568597102245056,0.046568597102245056
48,0.048,0.047540525285183835,0.047540525285183835
49,0.049,0.04851126495746656,0.04851126495746656
50,0.05,0.049480791850651996,0.049480791850651996
51,0.051000000000000004,0.05044908172661829,0.05044908172661829
52,0.052000000000000005,0.051416110378169,0.051416110378169
53,0.053,0.05238185362963818,0.05238185362963818
54,0.054,0.05334628733749485,0.05334628733749485
55,0.055,0.05430938739094655,0.05430938739094655
56,0.056,0.0552711297125421,0.0552711297125421
57,0.057,0.05623149025877355,0.05623149025877355
58,0.058,0.05719044502067727,0.05719044502067727
59,0.059000000000000004,0.058147970024434156,0.058147970024434156
60,0.06,0.05910404133196898,0.05910404133196898
61,0.061,0.06005863504154886,0.06005863504154886
62,0.062,0.061011727288380765,0.061011727288380765
63,0.063,0.06196329424520817,0.06196329424520817
64,0.064,0.06291331212290671,0.06291331212290671
65,0.065,0.06386175717107892,0.06386175717107892
66,0.066,0.064808605678648,0.064808605678648
67,0.067,0.06575383397445059,0.06575383397445059
68,0.068,0.0666974184278285,0.0666974184278285
69,0.069,0.06763933544921956,0.06763933544921956
70,0.07,0.06857956149074727,0.06857956149074727
71,0.07100000000000001,0.0695180730468096,0.0695180730468096
72,0.07200000000000001,0.07045484665466649,0.07045484665466649
73,0.073,0.07138985889502655,0.07138985889502655
