,t,k=0,k=1,k=2
0,0.0,5.0,5.0,5.0
1,0.01,6.095237589463894,6.095237589463894,6.095237589463894
2,0.02,7.194442948996658,7.194442948996658,7.194442948996658
3,0.03,8.315293498491915,8.315293498491915,8.315293498491915
4,0.04,9.472145247334094,9.472145247334094,9.472145247334094
5,0.05,10.675916074647196,10.675916074647196,10.675916074647196
6,0.06,11.93370916049309,11.93370916049309,11.93370916049309
7,0.07,13.248145575804548,13.248145575804548,13.248145575804548
8,0.08,14.616383838332407,14.616383838332407,14.616383838332407
9,0.09,16.028824646168125,16.028824646168125,16.028824646168125
10,0.1,17.467540125527105,17.467540125527105,17.467540125527105
11,0.11,18.90453898230131,18.90453898230131,18.90453898230131
12,0.12,20.300091016402142,20.300091016402142,20.300091016402142
13,0.13,21.601488975974533,21.601488975974533,21.601488975974533
14,0.14,22.742808459983557,22.742808459983557,22.742808459983557
15,0.15,23.646392713447966,23.646392713447966,23.646392713447966
16,0.16,24.226850699054964,24.226850699054964,24.226850699054964
17,0.17,24.398184268688155,24.398184268688155,24.398184268688155
18,0.18,24.084118976400365,24.084118976400365,24.084118976400365
19,0.19,23.230750673815642,23.230750673815642,23.230750673815642
20,0.2,21.819389473040303,21.819389473040303,21.819389473040303
21,0.21,19.876424694944163,19.876424694944163,19.876424694944163
22,0.22,17.476792818153854,17.476792818153854,17.476792818153854
23,0.23,14.73872351858356,14.73872351858356,14.73872351858356
24,0.24,11.809811967078748,11.809811967078748,11.809811967078748
25,0.25,8.847276629128377,8.847276629128377,8.847276629128377
26,0.26,5.997217519758049,5.997217519758049,5.997217519758049
27,0.27,3.3778231779415204,3.3778231779415204,3.3778231779415204
28,0.28,1.0697870553196331,1.0697870553196331,1.0697870553196331
29,0.29,-0.8853769414581831,-0.8853769414581831,-0.8853769414581831
30,0.3,-2.480671240816008,-2.480671240816008,-2.480671240816008
31,0.31,-3.735296168950068,-3.735296168950068,-3.735296168950068
32,0.32,-4.685349063187233,-4.685349063187233,-4.685349063187233
33,0.33,-5.375465084993752,-5.375465084993752,-5.375465084993752
34,0.34,-5.852379044816158,-5.852379044816158,-5.852379044816158
35,0.35000000000000003,-6.160611920743981,-6.160611920743981,-6.160611920743981
36,0.36,-6.340014700152759,-6.340014700152759,-6.340014700152759
37,0.37,-6.42470887426274,-6.42470887426274,-6.42470887426274
38,0.38,-6.442954079638462,-6.442954079638462,-6.442954079638462
39,0.39,-6.417555747594558,-6.417555747594558,-6.417555747594558
40,0.4,-6.366533829009718,-6.366533829009718,-6.366533829009718
41,0.41000000000000003,-6.30387248214149,-6.30387248214149,-6.30387248214149
42,0.42,-6.240246643873148,-6.240246643873148,-6.240246643873148
43,0.43,-6.183673568306988,-6.183673568306988,-6.183673568306988
44,0.44,-6.140069943479938,-6.140069943479938,-6.140069943479938
45,0.45,-6.113713580881487,-6.113713580881487,-6.113713580881487
46,0.46,-6.107617797427897,-6.107617797427897,-6.107617797427897
47,0.47000000000000003,-6.123830158696012,-6.123830158696012,-6.123830158696012
48,0.48,-6.163667730434714,-6.163667730434714,-6.163667730434714
49,0.49,-6.22789996482621,-6.22789996482621,-6.22789996482621
50,0.5,-6.316888744158158,-6.316888744158158,-6.316888744158158
51,0.51,-6.430693407308841,-6.430693407308841,-6.430693407308841
52,0.52,-6.569147026428729,-6.569147026428729,-6.569147026428729
53,0.53,-6.731908870729852,-6.731908870729852,-6.731908870729852
54,0.54,-6.918496905838837,-6.918496905838837,-6.918496905838837
55,0.55,-7.128303312897879,-7.128303312897879,-7.128303312897879
56,0.56,-7.36059534429312,-7.36059534429312,-7.36059534429312
57,0.5700000000000001,-7.614503337582335,-7.614503337582335,-7.614503337582335
58,0.58,-7.888997368307743,-7.888997368307743,-7.888997368307743
59,0.59,-8.182853827320654,-8.182853827320654,-8.182853827320654
60,0.6,-8.49461315906202,-8.49461315906202,-8.49461315906202
61,0.61,-8.822530101141082,-8.822530101141082,-8.822530101141082
62,0.62,-9.164518034460123,-9.164518034460123,-9.164518034460123
63,0.63,-9.518089500170891,-9.518089500170891,-9.518089500170891
64,0.64,-9.880295574267254,-9.880295574267254,-9.880295574267254
65,0.65,-10.24766761135825,-10.24766761135825,-10.24766761135825
66,0.66,-10.616165855263338,-10.616165855263338,-10.616165855263338
67,0.67,-10.981140513985848,-10.981140513985848,-10.981140513985848
68,0.68,-11.33731201575173,-11.33731201575173,-11.33731201575173
69,0.6900000000000001,-11.67877815170302,-11.67877815170302,-11.67877815170302
70,0.7000000000000001,-11.999056457431104,-11.999056457431104,-11.999056457431104
71,0.71,-12.291170216461717,-12.291170216461717,-12.291170216461717
72,0.72,-12.547785566465754,-12.547785566465754,-12.547785566465754
73,0.73,-12.761405031145012,-12.761405031145012,-12.761405031145012
74,0.74,-12.924619127494678,-12.924619127494678,-12.924619127494678
75,0.75,-13.030412405030146,-13.030412405030146,-13.030412405030146
76,0.76,-13.072513520000697,-13.072513520000697,-13.072513520000697
77,0.77,-13.04577125578884,-13.04577125578884,-13.04577125578884
78,0.78,-12.946530707148156,-12.946530707148156,-12.946530707148156
79,0.79,-12.772977461418442,-12.772977461418442,-12.772977461418442
80,0.8,-12.525414051734632,-12.525414051734632,-12.525414051734632
81,0.81,-12.20643364821907,-12.20643364821907,-12.20643364821907
82,0.8200000000000001,-11.820961829374053,-11.820961829374053,-11.820961829374053
83,0.8300000000000001,-11.376148402765532,-11.376148402765532,-11.376148402765532
84,0.84,-10.881106574608857,-10.881106574608857,-10.881106574608857
85,0.85,-10.346514169613789,-10.346514169613789,-10.346514169613789
86,0.86,-9.784108211170663,-9.784108211170663,-9.784108211170663
87,0.87,-9.206117016915837,-9.206117016915837,-9.206117016915837
88,0.88,-8.624680696339901,-8.624680696339901,-8.624680696339901
89,0.89,-8.051310426601066,-8.051310426601066,-8.051310426601066
90,0.9,-7.496429492422822,-7.496429492422822,-7.496429492422822
91,0.91,-6.96902651363128,-6.96902651363128,-6.96902651363128
92,0.92,-6.476436103873426,-6.476436103873426,-6.476436103873426
93,0.93,-6.024247136977131,-6.024247136977131,-6.024247136977131
94,0.9400000000000001,-5.616326127783758,-5.616326127783758,-5.616326127783758
95,0.9500000000000001,-5.254934396662191,-5.254934396662191,-5.254934396662191
96,0.96,-4.94091314936174,-4.94091314936174,-4.94091314936174
97,0.97,-4.673910003621271,-4.673910003621271,-4.673910003621271
98,0.98,-4.452622924233103,-4.452622924233103,-4.452622924233103
99,0.99,-4.2750418606631495,-4.2750418606631495,-4.2750418606631495
100,1.0,-4.138673534773002,-4.138673534773002,-4.138673534773002
101,1.01,-4.040739937614237,-4.040739937614237,-4.040739937614237
102,1.02,-3.978345587675406,-3.978345587675406,-3.978345587675406
103,1.03,-3.9486121798048868,-3.9486121798048868,-3.9486121798048868
104,1.04,-3.9487818374509804,-3.9487818374509804,-3.9487818374509804
105,1.05,-3.9762918435028434,-3.9762918435028434,-3.9762918435028434
106,1.06,-4.028824621062366,-4.028824621062366,-4.028824621062366
107,1.07,-4.1043370476228045,-4.1043370476228045,-4.1043370476228045
108,1.08,-4.201073090425945,-4.201073090425945,-4.201073090425945
109,1.09,-4.317563397418962,-4.317563397418962,-4.317563397418962
110,1.1,-4.452614984327901,-4.452614984327901,-4.452614984327901
111,1.11,-4.60529360829277,-4.60529360829277,-4.60529360829277
112,1.12,-4.774900868446711,-4.774900868446711,-4.774900868446711
113,1.1300000000000001,-4.960947557800111,-4.960947557800111,-4.960947557800111
114,1.1400000000000001,-5.163124326771598,-5.163124326771598,-5.163124326771598
115,1.1500000000000001,-5.381270313890716,-5.381270313890716,-5.381270313890716
116,1.16,-5.615340054280564,-5.615340054280564,-5.615340054280564
117,1.17,-5.865368688959249,-5.865368688959249,-5.865368688959249
118,1.18,-6.131435264371092,-6.131435264371092,-6.131435264371092
119,1.19,-6.413623729382962,-6.413623729382962,-6.413623729382962
120,1.2,-6.711981106018453,-6.711981106018453,-6.711981106018453
121,1.21,-7.026472233516416,-7.026472233516416,-7.026472233516416
122,1.22,-7.356930470122331,-7.356930470122331,-7.356930470122331
123,1.23,-7.70300379544771,-7.70300379544771,-7.70300379544771
124,1.24,-8.064095905687978,-8.064095905687978,-8.064095905687978
125,1.25,-8.439302157281684,-8.439302157281684,-8.439302157281684
126,1.26,-8.82734061927675,-8.82734061927675,-8.82734061927675
127,1.27,-9.226479071264906,-9.226479071264906,-9.226479071264906
128,1.28,-9.634459562251266,-9.634459562251266,-9.634459562251266
129,1.29,-10.048423149803961,-10.048423149803961,-10.048423149803961
130,1.3,-10.464838676361316,-10.464838676361316,-10.464838676361316
131,1.31,-10.879440890563297,-10.879440890563297,-10.879440890563297
132,1.32,-11.287184821315858,-11.287184821315858,-11.287184821315858
133,1.33,-11.682224933055611,-11.682224933055611,-11.682224933055611
134,1.34,-12.05792902269154,-12.05792902269154,-12.05792902269154
135,1.35,-12.406937758018634,-12.406937758018634,-12.406937758018634
136,1.36,-12.721280807467657,-12.721280807467657,-12.721280807467657
137,1.37,-12.992559209392866,-12.992559209392866,-12.992559209392866
138,1.3800000000000001,-13.21220051032873,-13.21220051032873,-13.21220051032873
139,1.3900000000000001,-13.371787904449986,-13.371787904449986,-13.371787904449986
140,1.4000000000000001,-13.463457021783915,-13.463457021783915,-13.463457021783915
141,1.41,-13.480344452656643,-13.480344452656643,-13.480344452656643
142,1.42,-13.41706143944175,-13.41706143944175,-13.41706143944175
143,1.43,-13.270155917019745,-13.270155917019745,-13.270155917019745
144,1.44,-13.038518263440292,-13.038518263440292,-13.038518263440292
145,1.45,-12.723682958638156,-12.723682958638156,-12.723682958638156
146,1.46,-12.329981752020949,-12.329981752020949,-12.329981752020949
147,1.47,-11.864514878798595,-11.864514878798595,-11.864514878798595
148,1.48,-11.33692482662893,-11.33692482662893,-11.33692482662893
149,1.49,-10.758979910327836,-10.758979910327836,-10.758979910327836
150,1.5,-10.14399877375942,-10.14399877375942,-10.14399877375942
151,1.51,-9.506167516267297,-9.506167516267297,-9.506167516267297
