,t,k=0,k=1,k=2,k=3,k=4,k=5,k=6
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.009995833333333334,0.009995833333333334,0.009995833333333334,0.009995833333333334,0.009995833333333334,0.009995833333333334,0.009995833333333334
2,0.02,0.01996668228949653,0.01996668228949653,0.01996668228949653,0.01996668228949653,0.01996668228949653,0.01996668228949653,0.01996668228949653
3,0.03,0.029887624941418233,0.029887624941418233,0.029887624941418233,0.029887624941418233,0.029887624941418233,0.029887624941418233,0.029887624941418233
4,0.04,0.039733864101789404,0.039733864101789404,0.039733864101789404,0.039733864101789404,0.039733864101789404,0.039733864101789404,0.039733864101789404
5,0.05,0.04948078930311099,0.04948078930311099,0.04948078930311099,0.04948078930311099,0.04948078930311099,0.04948078930311099,0.04948078930311099
6,0.06,0.05910403831103934,0.05910403831103934,0.05910403831103934,0.05910403831103934,0.05910403831103934,0.05910403831103934,0.05910403831103934
7,0.07,0.06857955801727804,0.06857955801727804,0.06857955801727804,0.06857955801727804,0.06857955801727804,0.06857955801727804,0.06857955801727804
8,0.08,0.07788366455981573,0.07788366455981573,0.07788366455981573,0.07788366455981573,0.07788366455981573,0.07788366455981573,0.07788366455981573
9,0.09,0.08699310252024058,0.08699310252024058,0.08699310252024058,0.08699310252024058,0.08699310252024058,0.08699310252024058,0.08699310252024058
10,0.1,0.09588510305016894,0.09588510305016894,0.09588510305016894,0.09588510305016894,0.09588510305016894,0.09588510305016894,0.09588510305016894
11,0.11,0.10453744078150252,0.10453744078150252,0.10453744078150252,0.10453744078150252,0.10453744078150252,0.10453744078150252,0.10453744078150252
12,0.12,0.112928489378268,0.112928489378268,0.112928489378268,0.112928489378268,0.112928489378268,0.112928489378268,0.112928489378268
13,0.13,0.12103727559118833,0.12103727559118833,0.12103727559118833,0.12103727559118833,0.12103727559118833,0.12103727559118833,0.12103727559118833
14,0.14,0.1288435316798778,0.1288435316798778,0.1288435316798778,0.1288435316798778,0.1288435316798778,0.1288435316798778,0.1288435316798778
15,0.15,0.13632774607163223,0.13632774607163223,0.13632774607163223,0.13632774607163223,0.13632774607163223,0.13632774607163223,0.13632774607163223
16,0.16,0.14347121213019406,0.14347121213019406,0.14347121213019406,0.14347121213019406,0.14347121213019406,0.14347121213019406,0.14347121213019406
17,0.17,0.15025607491259585,0.15025607491259585,0.15025607491259585,0.15025607491259585,0.15025607491259585,0.15025607491259585,0.15025607491259585
18,0.18,0.156665375797214,0.156665375797214,0.156665375797214,0.156665375797214,0.156665375797214,0.156665375797214,0.156665375797214
19,0.19,0.1626830948714865,0.1626830948714865,0.1626830948714865,0.1626830948714865,0.1626830948714865,0.1626830948714865,0.1626830948714865
