,t,k=0,k=1,k=2,k=3,k=4,k=5,k=6
0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.01,0.9987502604166667,0.9987502604166667,0.9987502604166667,0.9987502604166667,0.9987502604166667,0.9987502604166667,0.9987502604166667
2,0.02,0.995004165581665,0.995004165581665,0.995004165581665,0.995004165581665,0.995004165581665,0.995004165581665,0.995004165581665
3,0.03,0.9887710787807205,0.9887710787807205,0.9887710787807205,0.9887710787807205,0.9887710787807205,0.9887710787807205,0.9887710787807205
4,0.04,0.9800665794836232,0.9800665794836232,0.9800665794836232,0.9800665794836232,0.9800665794836232,0.9800665794836232,0.9800665794836232
5,0.05,0.9689124244036703,0.9689124244036703,0.9689124244036703,0.9689124244036703,0.9689124244036703,0.9689124244036703,0.9689124244036703
6,0.06,0.9553364931172176,0.9553364931172176,0.9553364931172176,0.9553364931172176,0.9553364931172176,0.9553364931172176,0.9553364931172176
7,0.07,0.9393727183792637,0.9393727183792637,0.9393727183792637,0.9393727183792637,0.9393727183792637,0.9393727183792637,0.9393727183792637
8,0.08,0.9210610013092424,0.9210610013092424,0.9210610013092424,0.9210610013092424,0.9210610013092424,0.9210610013092424,0.9210610013092424
9,0.09,0.9004471116590127,0.9004471116590127,0.9004471116590127,0.9004471116590127,0.9004471116590127,0.9004471116590127,0.9004471116590127
10,0.1,0.8775825734123266,0.8775825734123266,0.8775825734123266,0.8775825734123266,0.8775825734123266,0.8775825734123266,0.8775825734123266
11,0.11,0.8525245360017152,0.8525245360017152,0.8525245360017152,0.8525245360017152,0.8525245360017152,0.8525245360017152,0.8525245360017152
12,0.12,0.8253356314646834,0.8253356314646834,0.8253356314646834,0.8253356314646834,0.8253356314646834,0.8253356314646834,0.8253356314646834
13,0.13,0.7960838178962497,0.7960838178962497,0.7960838178962497,0.7960838178962497,0.7960838178962497,0.7960838178962497,0.7960838178962497
14,0.14,0.7648422095891173,0.7648422095891173,0.7648422095891173,0.7648422095891173,0.7648422095891173,0.7648422095891173,0.7648422095891173
15,0.15,0.7316888942860369,0.7316888942860369,0.7316888942860369,0.7316888942860369,0.7316888942860369,0.7316888942860369,0.7316888942860369
16,0.16,0.6967067380011367,0.6967067380011367,0.6967067380011367,0.6967067380011367,0.6967067380011367,0.6967067380011367,0.6967067380011367
17,0.17,0.6599831778980634,0.6599831778980634,0.6599831778980634,0.6599831778980634,0.6599831778980634,0.6599831778980634,0.6599831778980634
18,0.18,0.6216100037426311,0.6216100037426311,0.6216100037426311,0.6216100037426311,0.6216100037426311,0.6216100037426311,0.6216100037426311
19,0.19,0.5816831284762333,0.5816831284762333,0.5816831284762333,0.5816831284762333,0.5816831284762333,0.5816831284762333,0.5816831284762333
20,0.2,0.5403023484834635,0.5403023484834635,0.5403023484834635,0.5403023484834635,0.5403023484834635,0.5403023484834635,0.5403023484834635
21,0.21,0.4975710941531521,0.4975710941531521,0.4975710941531521,0.4975710941531521,0.4975710941531521,0.4975710941531521,0.4975710941531521
22,0.22,0.4535961713562858,0.4535961713562858,0.4535961713562858,0.4535961713562858,0.4535961713562858,0.4535961713562858,0.4535961713562858
23,0.23,0.40848749448698085,0.40848749448698085,0.40848749448698085,0.40848749448698085,0.40848749448698085,0.40848749448698085,0.40848749448698085
24,0.24,0.36235781173376774,0.36235781173376774,0.36235781173376774,0.36235781173376774,0.36235781173376774,0.36235781173376774,0.36235781173376774
25,0.25,0.3153224232678669,0.3153224232678669,0.3153224232678669,0.3153224232678669,0.3153224232678669,0.3153224232678669,0.3153224232678669
26,0.26,0.2674988930528373,0.2674988930528373,0.2674988930528373,0.2674988930528373,0.2674988930528373,0.2674988930528373,0.2674988930528373
27,0.27,0.2190067549959237,0.2190067549959237,0.2190067549959237,0.2190067549959237,0.2190067549959237,0.2190067549959237,0.2190067549959237
28,0.28,0.16996721417557134,0.16996721417557134,0.16996721417557134,0.16996721417557134,0.16996721417557134,0.16996721417557134,0.16996721417557134
29,0.29,0.12050284389188341,0.12050284389188341,0.12050284389188341,0.12050284389188341,0.12050284389188341,0.12050284389188341,0.12050284389188341
30,0.3,0.07073727929723736,0.07073727929723736,0.07073727929723736,0.07073727929723736,0.07073727929723736,0.07073727929723736,0.07073727929723736
31,0.31,0.020794908372823794,0.020794908372823794,0.020794908372823794,0.020794908372823794,0.020794908372823794,0.020794908372823794,0.020794908372823794
32,0.32,-0.029199438976494206,-0.029199438976494206,-0.029199438976494206,-0.029199438976494206,-0.029199438976494206,-0.029199438976494206,-0.029199438976494206
33,0.33,-0.07912080293190074,-0.07912080293190074,-0.07912080293190074,-0.07912080293190074,-0.07912080293190074,-0.07912080293190074,-0.07912080293190074
34,0.34,-0.12884440609506376,-0.12884440609506376,-0.12884440609506376,-0.12884440609506376,-0.12884440609506376,-0.12884440609506376,-0.12884440609506376
35,0.35000000000000003,-0.17824596536661558,-0.17824596536661558,-0.17824596536661558,-0.17824596536661558,-0.17824596536661558,-0.17824596536661558,-0.17824596536661558
36,0.36,-0.22720200258914341,-0.22720200258914341,-0.22720200258914341,-0.22720200258914341,-0.22720200258914341,-0.22720200258914341,-0.22720200258914341
37,0.37,-0.27559015317824453,-0.27559015317824453,-0.27559015317824453,-0.27559015317824453,-0.27559015317824453,-0.27559015317824453,-0.27559015317824453
38,0.38,-0.3232894719702287,-0.3232894719702287,-0.3232894719702287,-0.3232894719702287,-0.3232894719702287,-0.3232894719702287,-0.3232894719702287
