,t,k=0,k=1,k=2,k=3,k=4
0,0.0,5.0,5.0,5.0,5.0,5.0
1,0.001,5.011926673689678,5.011926673689678,5.011926673689678,5.011926673689678,5.011926673689678
2,0.002,5.024375745356627,5.024375745356627,5.024375745356627,5.024375745356627,5.024375745356627
3,0.003,5.0373510880060275,5.0373510880060275,5.0373510880060275,5.0373510880060275,5.0373510880060275
4,0.004,5.050856965171065,5.050856965171065,5.050856965171065,5.050856965171065,5.050856965171065
5,0.005,5.0648980241892385,5.0648980241892385,5.0648980241892385,5.0648980241892385,5.0648980241892385
6,0.006,5.079479289896494,5.079479289896494,5.079479289896494,5.079479289896494,5.079479289896494
7,0.007,5.094606158722385,5.094606158722385,5.094606158722385,5.094606158722385,5.094606158722385
8,0.008,5.11028439316995,5.11028439316995,5.11028439316995,5.11028439316995,5.11028439316995
9,0.009000000000000001,5.126520116664557,5.126520116664557,5.126520116664557,5.126520116664557,5.126520116664557
10,0.01,5.143319808756423,5.143319808756423,5.143319808756423,5.143319808756423,5.143319808756423
11,0.011,5.16069030066198,5.16069030066198,5.16069030066198,5.16069030066198,5.16069030066198
12,0.012,5.178638771129731,5.178638771129731,5.178638771129731,5.178638771129731,5.178638771129731
13,0.013000000000000001,5.197172742616605,5.197172742616605,5.197172742616605,5.197172742616605,5.197172742616605
14,0.014,5.216300077761263,5.216300077761263,5.216300077761263,5.216300077761263,5.216300077761263
15,0.015,5.236028976141148,5.236028976141148,5.236028976141148,5.236028976141148,5.236028976141148
16,0.016,5.256367971300423,5.256367971300423,5.256367971300423,5.256367971300423,5.256367971300423
17,0.017,5.2773259280362925,5.2773259280362925,5.2773259280362925,5.2773259280362925,5.2773259280362925
18,0.018000000000000002,5.29891203993146,5.29891203993146,5.29891203993146,5.29891203993146,5.29891203993146
19,0.019,5.321135827120825,5.321135827120825,5.321135827120825,5.321135827120825,5.321135827120825
20,0.02,5.344007134280718,5.344007134280718,5.344007134280718,5.344007134280718,5.344007134280718
21,0.021,5.367536128829271,5.367536128829271,5.367536128829271,5.367536128829271,5.367536128829271
22,0.022,5.391733299326716,5.391733299326716,5.391733299326716,5.391733299326716,5.391733299326716
23,0.023,5.416609454064608,5.416609454064608,5.416609454064608,5.416609454064608,5.416609454064608
24,0.024,5.442175719833176,5.442175719833176,5.442175719833176,5.442175719833176,5.442175719833176
25,0.025,5.4684435408561445,5.4684435408561445,5.4684435408561445,5.4684435408561445,5.4684435408561445
26,0.026000000000000002,5.495424677882539,5.495424677882539,5.495424677882539,5.495424677882539,5.495424677882539
27,0.027,5.5231312074251075,5.5231312074251075,5.5231312074251075,5.5231312074251075,5.5231312074251075
28,0.028,5.551575521135092,5.551575521135092,5.551575521135092,5.551575521135092,5.551575521135092
29,0.029,5.580770325303209,5.580770325303209,5.580770325303209,5.580770325303209,5.580770325303209
30,0.03,5.610728640476734,5.610728640476734,5.610728640476734,5.610728640476734,5.610728640476734
31,0.031,5.6414638011826845,5.6414638011826845,5.6414638011826845,5.6414638011826845,5.6414638011826845
32,0.032,5.672989455747097,5.672989455747097,5.672989455747097,5.672989455747097,5.672989455747097
33,0.033,5.70531956620046,5.70531956620046,5.70531956620046,5.70531956620046,5.70531956620046
34,0.034,5.738468408259342,5.738468408259342,5.738468408259342,5.738468408259342,5.738468408259342
35,0.035,5.772450571374265,5.772450571374265,5.772450571374265,5.772450571374265,5.772450571374265
36,0.036000000000000004,5.807280958833841,5.807280958833841,5.807280958833841,5.807280958833841,5.807280958833841
37,0.037,5.8429747879151535,5.8429747879151535,5.8429747879151535,5.8429747879151535,5.8429747879151535
38,0.038,5.879547590070306,5.879547590070306,5.879547590070306,5.879547590070306,5.879547590070306
39,0.039,5.917015211139003,5.917015211139003,5.917015211139003,5.917015211139003,5.917015211139003
40,0.04,5.955393811576924,5.955393811576924,5.955393811576924,5.955393811576924,5.955393811576924
41,0.041,5.994699866689555,5.994699866689555,5.994699866689555,5.994699866689555,5.994699866689555
42,0.042,6.034950166861044,6.034950166861044,6.034950166861044,6.034950166861044,6.034950166861044
43,0.043000000000000003,6.076161817767495,6.076161817767495,6.076161817767495,6.076161817767495,6.076161817767495
44,0.044,6.118352240563961,6.118352240563961,6.118352240563961,6.118352240563961,6.118352240563961
45,0.045,6.161539172034285,6.161539172034285,6.161539172034285,6.161539172034285,6.161539172034285
46,0.046,6.205740664692698,6.205740664692698,6.205740664692698,6.205740664692698,6.205740664692698
47,0.047,6.250975086825958,6.250975086825958,6.250975086825958,6.250975086825958,6.250975086825958
48,0.048,6.297261122464564,6.297261122464564,6.297261122464564,6.297261122464564,6.297261122464564
49,0.049,6.344617771271385,6.344617771271385,6.344617771271385,6.344617771271385,6.344617771271385
50,0.05,6.393064348335837,6.393064348335837,6.393064348335837,6.393064348335837,6.393064348335837
51,0.051000000000000004,6.442620483861454,6.442620483861454,6.442620483861454,6.442620483861454,6.442620483861454
52,0.052000000000000005,6.493306122734477,6.493306122734477,6.493306122734477,6.493306122734477,6.493306122734477
53,0.053,6.545141523960835,6.545141523960835,6.545141523960835,6.545141523960835,6.545141523960835
54,0.054,6.598147259958556,6.598147259958556,6.598147259958556,6.598147259958556,6.598147259958556
55,0.055,6.652344215692436,6.652344215692436,6.652344215692436,6.652344215692436,6.652344215692436
56,0.056,6.707753587637416,6.707753587637416,6.707753587637416,6.707753587637416,6.707753587637416
57,0.057,6.7643968825568805,6.7643968825568805,6.7643968825568805,6.7643968825568805,6.7643968825568805
58,0.058,6.822295916081698,6.822295916081698,6.822295916081698,6.822295916081698,6.822295916081698
59,0.059000000000000004,6.881472811075566,6.881472811075566,6.881472811075566,6.881472811075566,6.881472811075566
60,0.06,6.941949995771822,6.941949995771822,6.941949995771822,6.941949995771822,6.941949995771822
61,0.061,7.003750201666573,7.003750201666573,7.003750201666573,7.003750201666573,7.003750201666573
62,0.062,7.066896461152633,7.066896461152633,7.066896461152633,7.066896461152633,7.066896461152633
63,0.063,7.131412104878378,7.131412104878378,7.131412104878378,7.131412104878378,7.131412104878378
64,0.064,7.197320758815287,7.197320758815287,7.197320758815287,7.197320758815287,7.197320758815287
65,0.065,7.264646341017543,7.264646341017543,7.264646341017543,7.264646341017543,7.264646341017543
66,0.066,7.333413058056694,7.333413058056694,7.333413058056694,7.333413058056694,7.333413058056694
67,0.067,7.403645401113996,7.403645401113996,7.403645401113996,7.403645401113996,7.403645401113996
68,0.068,7.475368141712675,7.475368141712675,7.475368141712675,7.475368141712675,7.475368141712675
69,0.069,7.548606327071943,7.548606327071943,7.548606327071943,7.548606327071943,7.548606327071943
70,0.07,7.623385275064245,7.623385275064245,7.623385275064245,7.623385275064245,7.623385275064245
71,0.07100000000000001,7.699730568756792,7.699730568756792,7.699730568756792,7.699730568756792,7.699730568756792
72,0.07200000000000001,7.777668050518086,7.777668050518086,7.777668050518086,7.777668050518086,7.777668050518086
73,0.073,7.857223815669736,7.857223815669736,7.857223815669736,7.857223815669736,7.857223815669736
74,0.074,7.938424205663494,7.938424205663494,7.938424205663494,7.938424205663494,7.938424205663494
75,0.075,8.021295800763088,8.021295800763088,8.021295800763088,8.021295800763088,8.021295800763088
