Points_MT10-01_field_temperature,Points_MT10-02_field_temperature,Points_MT10-03_field_temperature,Points_MT10-04_field_temperature,Points_MT10-05_field_temperature,Points_MT10-06_field_temperature,Points_MT10-07_field_temperature,Points_MT10-08_field_temperature,Points_MT10-09_field_temperature,Points_MT10-10_field_temperature,time
2.9314999999999998e+02,2.9314999999999998e+02,2.9314999999999998e+02,2.9314999999999998e+02,2.9314999999999998e+02,2.9314999999999998e+02,2.9314999999999998e+02,2.9314999999999992e+02,2.9314999999999998e+02,2.9314999999999998e+02,0.0000000000000000e+00
2.9286623693297059e+02,2.9334359394306648e+02,2.9254385329402129e+02,2.9159143130660181e+02,2.9332308959116961e+02,2.9264330914058820e+02,2.9241933346916051e+02,2.9236113857660496e+02,2.9249345335568535e+02,2.9242321602088151e+02,6.0000000000000000e+02
2.9256169349870947e+02,2.9331293881257233e+02,2.9219892065509362e+02,2.9128623014481013e+02,2.9328374041448154e+02,2.9242521774825707e+02,2.9214626815774665e+02,2.9209431073085744e+02,2.9231608570110046e+02,2.9214762377702368e+02,1.2000000000000000e+03
2.9238055150345235e+02,2.9329330909962101e+02,2.9206694931051811e+02,2.9128776924747530e+02,2.9326416340559160e+02,2.9236994325481760e+02,2.9204895620299305e+02,2.9202048030969871e+02,2.9227617256238625e+02,2.9204403124989932e+02,1.8000000000000000e+03
2.9230361393911608e+02,2.9328649522073482e+02,2.9202798887439963e+02,2.9129311197397237e+02,2.9325835901614323e+02,2.9235690802247672e+02,2.9202059134471807e+02,2.9200460897528149e+02,2.9226710972546601e+02,2.9201148746865556e+02,2.4000000000000000e+03
2.9227972855703126e+02,2.9328187048224953e+02,2.9202089304941660e+02,2.9128902964444575e+02,2.9325425689875715e+02,2.9235200828733167e+02,2.9201549511576366e+02,2.9200299884917547e+02,2.9226361050710818e+02,2.9200523445008548e+02,3.0000000000000000e+03
2.9227591656863365e+02,2.9327942376551977e+02,2.9202205771699857e+02,2.9128579060793038e+02,2.9325198784831991e+02,2.9234998745397343e+02,2.9201639328085167e+02,2.9200413523038623e+02,2.9226212177910821e+02,2.9200633574642109e+02,3.6000000000000000e+03
2.9227756098227309e+02,2.9327880582938599e+02,2.9202411008246105e+02,2.9128490620441090e+02,2.9325139940637735e+02,2.9234969722666250e+02,2.9201791827406316e+02,2.9200528651310105e+02,2.9226190038492479e+02,2.9200822156910425e+02,4.2000000000000000e+03
2.9227963944368526e+02,2.9327896355084061e+02,2.9202543930318808e+02,2.9128507877892406e+02,2.9325154307052196e+02,2.9235009261361353e+02,2.9201890365027623e+02,2.9200597342617147e+02,2.9226219084611307e+02,2.9200939229449449e+02,4.8000000000000000e+03
2.9228097164313385e+02,2.9327923120520308e+02,2.9202607459363162e+02,2.9128540668085594e+02,2.9325179402420002e+02,2.9235051745650543e+02,2.9201937510243232e+02,2.9200628690764728e+02,2.9226250580820039e+02,2.9200991351544542e+02,5.4000000000000000e+03
2.9228160923683515e+02,2.9327940150013757e+02,2.9202631570537551e+02,2.9128561567920008e+02,2.9325195451703462e+02,2.9235077046364722e+02,2.9201955436254485e+02,2.9200639814415928e+02,2.9226269390527381e+02,2.9201009134888574e+02,6.0000000000000000e+03
2.9228184230319971e+02,2.9327947509274770e+02,2.9202638355780243e+02,2.9128570564609169e+02,2.9325202402347793e+02,2.9235087644891746e+02,2.9201960490841458e+02,2.9200642526155798e+02,2.9226277280098861e+02,2.9201013263428513e+02,6.6000000000000000e+03
2.9228189649046180e+02,2.9327949633155799e+02,2.9202639132765466e+02,2.9128573152926418e+02,2.9325204410826910e+02,2.9235090554137787e+02,2.9201961072287139e+02,2.9200642599506739e+02,2.9226279447569135e+02,2.9201013301168206e+02,7.2000000000000000e+03
2.9228189218702016e+02,2.9327949777334328e+02,2.9202638483387597e+02,2.9128573328085264e+02,2.9325204548038715e+02,2.9235090643032061e+02,2.9201960589662099e+02,2.9200642188355215e+02,2.9226279514585843e+02,2.9201012636112733e+02,7.8000000000000000e+03
2.9228187815146680e+02,2.9327949471222627e+02,2.9202637839485698e+02,2.9128572955533383e+02,2.9325204259268907e+02,2.9235090139375808e+02,2.9201960110407714e+02,2.9200641868634796e+02,2.9226279140028799e+02,2.9201012132253402e+02,8.4000000000000000e+03
2.9228186816125691e+02,2.9327949213257961e+02,2.9202637461895301e+02,2.9128572641575869e+02,2.9325204015793543e+02,2.9235089741578292e+02,2.9201959829340882e+02,2.9200641698323955e+02,2.9226278844113540e+02,2.9201011865065493e+02,9.0000000000000000e+03
2.9228186319831372e+02,2.9327949078092104e+02,2.9202637289408881e+02,2.9128572477001728e+02,2.9325203888229953e+02,2.9235089537668591e+02,2.9201959700972731e+02,2.9200641624607425e+02,2.9226278692438473e+02,2.9201011749190917e+02,9.6000000000000000e+03
2.9228186131495238e+02,2.9327949025644642e+02,2.9202637226621653e+02,2.9128572413110288e+02,2.9325203838741334e+02,2.9235089459392509e+02,2.9201959654258326e+02,2.9200641598559639e+02,2.9226278634223689e+02,2.9201011708076862e+02,1.0200000000000000e+04
2.9228186082433569e+02,2.9327949011815480e+02,2.9202637210685003e+02,2.9128572396253998e+02,2.9325203825695075e+02,2.9235089438899701e+02,2.9201959642405444e+02,2.9200641592068303e+02,2.9226278618986521e+02,2.9201011697777687e+02,1.0800000000000000e+04
2.9228186080944766e+02,2.9327949011297073e+02,2.9202637210426610e+02,2.9128572395618494e+02,2.9325203825206825e+02,2.9235089438203772e+02,2.9201959642215064e+02,2.9200641592026329e+02,2.9226278618470423e+02,2.9201011697691075e+02,1.1400000000000000e+04
2.9228186089213546e+02,2.9327949013500114e+02,2.9202637213380802e+02,2.9128572398301276e+02,2.9325203827285497e+02,2.9235089441547979e+02,2.9201959644413444e+02,2.9200641593307171e+02,2.9226278620957726e+02,2.9201011699711182e+02,1.2000000000000000e+04
2.9228186095852789e+02,2.9327949015254541e+02,2.9202637215774087e+02,2.9128572400438105e+02,2.9325203828940698e+02,2.9235089444216214e+02,2.9201959646194098e+02,2.9200641594351094e+02,2.9226278622941959e+02,2.9201011701361324e+02,1.2600000000000000e+04
2.9228186099373113e+02,2.9327949016165144e+02,2.9202637217079661e+02,2.9128572401547046e+02,2.9325203829799796e+02,2.9235089445612402e+02,2.9201959647165449e+02,2.9200641594930011e+02,2.9226278623980153e+02,2.9201011702276764e+02,1.3200000000000000e+04
2.9228186100809421e+02,2.9327949016525235e+02,2.9202637217633776e+02,2.9128572401985423e+02,2.9325203830139520e+02,2.9235089446171463e+02,2.9201959647577723e+02,2.9200641595180872e+02,2.9226278624395860e+02,2.9201011702673446e+02,1.3800000000000000e+04
2.9228186101240499e+02,2.9327949016627764e+02,2.9202637217810366e+02,2.9128572402110171e+02,2.9325203830236262e+02,2.9235089446334160e+02,2.9201959647709100e+02,2.9200641595263170e+02,2.9226278624516817e+02,2.9201011702803527e+02,1.4400000000000000e+04
